participant,trial,model_name,condition,human_choice,model_choice,prompt,nll
0,0,gpt-5.4,money,G,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press",
0,1,gpt-5.4,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press",
0,2,gpt-5.4,money,G,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press",
0,3,gpt-5.4,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press",
0,4,gpt-5.4,money,G,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press",
0,5,gpt-5.4,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press",
0,6,gpt-5.4,money,C,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press",
0,7,gpt-5.4,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press <<C>>.
You have the choice between receiving 500$ immediately (press G) or receiving 700$ in two years (press C). You press",
0,8,gpt-5.4,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press <<C>>.
You have the choice between receiving 500$ immediately (press G) or receiving 700$ in two years (press C). You press <<C>>.
You have the choice between wait 500$ immediately (press G) or wait 600$ in one year (press C). You press",
0,9,gpt-5.4,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press <<C>>.
You have the choice between receiving 500$ immediately (press G) or receiving 700$ in two years (press C). You press <<C>>.
You have the choice between wait 500$ immediately (press G) or wait 600$ in one year (press C). You press <<C>>.
You have the choice between receive 500$ immediately (press G) or receive 600$ in one year (press C). You press",
1,0,gpt-5.4,money,W,W,"In the following you will be presented with multiple choices between two options C and W.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press C) or receiving 550$ in one year (press W). You press",
1,1,gpt-5.4,money,C,C,"In the following you will be presented with multiple choices between two options C and W.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press C) or receiving 550$ in one year (press W). You press <<W>>.
You have the choice between receiving 500$ immediately (press C) or receiving 510$ in one year (press W). You press",
1,2,gpt-5.4,money,C,W,"In the following you will be presented with multiple choices between two options C and W.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press C) or receiving 550$ in one year (press W). You press <<W>>.
You have the choice between receiving 500$ immediately (press C) or receiving 510$ in one year (press W). You press <<C>>.
You have the choice between paying 500$ immediately (press C) or paying 550$ in one year (press W). You press",
1,3,gpt-5.4,money,C,W,"In the following you will be presented with multiple choices between two options C and W.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press C) or receiving 550$ in one year (press W). You press <<W>>.
You have the choice between receiving 500$ immediately (press C) or receiving 510$ in one year (press W). You press <<C>>.
You have the choice between paying 500$ immediately (press C) or paying 550$ in one year (press W). You press <<C>>.
You have the choice between paying 500$ immediately (press C) or paying 510$ in one year (press W). You press",
1,4,gpt-5.4,money,C,W,"In the following you will be presented with multiple choices between two options C and W.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press C) or receiving 550$ in one year (press W). You press <<W>>.
You have the choice between receiving 500$ immediately (press C) or receiving 510$ in one year (press W). You press <<C>>.
You have the choice between paying 500$ immediately (press C) or paying 550$ in one year (press W). You press <<C>>.
You have the choice between paying 500$ immediately (press C) or paying 510$ in one year (press W). You press <<C>>.
You have the choice between paying 500$ immediately (press C) or paying 505$ in one year (press W). You press",
