participant,trial,model_name,human_choice,model_choice,prompt,nll
0,0,Llama-3.3-70B-Instruct,G,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press",6.556489552167477e-06
0,1,Llama-3.3-70B-Instruct,C,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press",11.718757629394531
0,2,Llama-3.3-70B-Instruct,G,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press",5.960462772236497e-07
0,3,Llama-3.3-70B-Instruct,C,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press",12.78125286102295
0,4,Llama-3.3-70B-Instruct,G,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press",6.401333666872233e-05
0,5,Llama-3.3-70B-Instruct,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press",5.960462772236497e-07
0,6,Llama-3.3-70B-Instruct,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press",0.02185230888426304
0,7,Llama-3.3-70B-Instruct,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press <<C>>.
You have the choice between receiving 500$ immediately (press G) or receiving 700$ in two years (press C). You press",0.05009171739220619
0,8,Llama-3.3-70B-Instruct,C,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press <<C>>.
You have the choice between receiving 500$ immediately (press G) or receiving 700$ in two years (press C). You press <<C>>.
You have the choice between wait 500$ immediately (press G) or wait 600$ in one year (press C). You press",6.127184867858887
0,9,Llama-3.3-70B-Instruct,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press <<C>>.
You have the choice between receiving 500$ immediately (press G) or receiving 700$ in two years (press C). You press <<C>>.
You have the choice between wait 500$ immediately (press G) or wait 600$ in one year (press C). You press <<C>>.
You have the choice between receive 500$ immediately (press G) or receive 600$ in one year (press C). You press",0.2450537085533142
