participant,trial,model_name,condition,human_choice,model_choice,prompt,nll
0,0,Llama-3.3-70B-Instruct,zorbs,G,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press",9.775113539944869e-06
0,1,Llama-3.3-70B-Instruct,zorbs,C,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 600 zorbs in one year (press C). You press",8.593935012817383
0,2,Llama-3.3-70B-Instruct,zorbs,G,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 600 zorbs in one year (press C). You press <<C>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 550 zorbs in one year (press C). You press",5.245195097813848e-06
0,3,Llama-3.3-70B-Instruct,zorbs,C,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 600 zorbs in one year (press C). You press <<C>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 550 zorbs in one year (press C). You press <<G>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 510 zorbs in one year (press C). You press",12.468753814697266
0,4,Llama-3.3-70B-Instruct,zorbs,G,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 600 zorbs in one year (press C). You press <<C>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 550 zorbs in one year (press C). You press <<G>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 510 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 5500 zorbs in one year (press C). You press",0.00044431351125240326
0,5,Llama-3.3-70B-Instruct,zorbs,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 600 zorbs in one year (press C). You press <<C>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 550 zorbs in one year (press C). You press <<G>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 510 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 5500 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 6000 zorbs in one year (press C). You press",5.602820692729438e-06
0,6,Llama-3.3-70B-Instruct,zorbs,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 600 zorbs in one year (press C). You press <<C>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 550 zorbs in one year (press C). You press <<G>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 510 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 5500 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 6000 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 500 zorbs in one year (press G) or receiving 600 zorbs in two years (press C). You press",0.008094719611108303
0,7,Llama-3.3-70B-Instruct,zorbs,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 600 zorbs in one year (press C). You press <<C>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 550 zorbs in one year (press C). You press <<G>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 510 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 5500 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 6000 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 500 zorbs in one year (press G) or receiving 600 zorbs in two years (press C). You press <<C>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 700 zorbs in two years (press C). You press",0.03364565595984459
0,8,Llama-3.3-70B-Instruct,zorbs,C,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 600 zorbs in one year (press C). You press <<C>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 550 zorbs in one year (press C). You press <<G>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 510 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 5500 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 6000 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 500 zorbs in one year (press G) or receiving 600 zorbs in two years (press C). You press <<C>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 700 zorbs in two years (press C). You press <<C>>.
You have the choice between wait 500 zorbs immediately (press G) or wait 600 zorbs in one year (press C). You press",6.7511701583862305
0,9,Llama-3.3-70B-Instruct,zorbs,C,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500 zorbs immediately (press G) or receiving 550 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 600 zorbs in one year (press C). You press <<C>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 550 zorbs in one year (press C). You press <<G>>.
You have the choice between paying 500 zorbs immediately (press G) or paying 510 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 5500 zorbs in one year (press C). You press <<G>>.
You have the choice between receiving 5000 zorbs immediately (press G) or receiving 6000 zorbs in one year (press C). You press <<C>>.
You have the choice between receiving 500 zorbs in one year (press G) or receiving 600 zorbs in two years (press C). You press <<C>>.
You have the choice between receiving 500 zorbs immediately (press G) or receiving 700 zorbs in two years (press C). You press <<C>>.
You have the choice between wait 500 zorbs immediately (press G) or wait 600 zorbs in one year (press C). You press <<C>>.
You have the choice between receive 500 zorbs immediately (press G) or receive 600 zorbs in one year (press C). You press",2.0720865726470947
