participant,trial,model_name,condition,human_choice,model_choice,prompt,nll
0,0,claude-sonnet-4-5,money,G,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press",
0,1,claude-sonnet-4-5,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press",
0,2,claude-sonnet-4-5,money,G,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press",
0,3,claude-sonnet-4-5,money,C,G,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press",
0,4,claude-sonnet-4-5,money,G,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press",
0,5,claude-sonnet-4-5,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press",
0,6,claude-sonnet-4-5,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press",
0,7,claude-sonnet-4-5,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press <<C>>.
You have the choice between receiving 500$ immediately (press G) or receiving 700$ in two years (press C). You press",
0,8,claude-sonnet-4-5,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press <<C>>.
You have the choice between receiving 500$ immediately (press G) or receiving 700$ in two years (press C). You press <<C>>.
You have the choice between wait 500$ immediately (press G) or wait 600$ in one year (press C). You press",
0,9,claude-sonnet-4-5,money,C,C,"In the following you will be presented with multiple choices between two options G and C.
Please name which option you would prefer by pressing the corresponding key.

You have the choice between receiving 500$ immediately (press G) or receiving 550$ in one year (press C). You press <<G>>.
You have the choice between receiving 500$ immediately (press G) or receiving 600$ in one year (press C). You press <<C>>.
You have the choice between paying 500$ immediately (press G) or paying 550$ in one year (press C). You press <<G>>.
You have the choice between paying 500$ immediately (press G) or paying 510$ in one year (press C). You press <<C>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 5500$ in one year (press C). You press <<G>>.
You have the choice between receiving 5000$ immediately (press G) or receiving 6000$ in one year (press C). You press <<C>>.
You have the choice between receiving 500$ in one year (press G) or receiving 600$ in two years (press C). You press <<C>>.
You have the choice between receiving 500$ immediately (press G) or receiving 700$ in two years (press C). You press <<C>>.
You have the choice between wait 500$ immediately (press G) or wait 600$ in one year (press C). You press <<C>>.
You have the choice between receive 500$ immediately (press G) or receive 600$ in one year (press C). You press",
